OVIPMONTH,OVIPDAY,OVIPYEAR,LABEL,CAGE,TIME,ID,TREAT,TREAT1,COUNT,CHANGE,EMASS,SURV,
6,24,2022,15B,15,B,202-1,Control (Water),Control (Water) B,434,,,,
6,24,2022,9A,9,A,204-1,Bleach,Bleach A,417,-85.37170264,0.1541,Y,
6,24,2022,9B,9,B,204-1,Bleach,Bleach B,61,,,,
6,24,2022,22A,22,A,199-1,Control (Water),Control (Water) A,437,-93.8215103,0.118,N,
6,24,2022,22B,22,B,199-1,Control (Water),Control (Water) B,27,,,,
6,24,2022,23-2A,23,A,198-2,Control (Water),Control (Water) A,233,-40.77253219,0.1419,Y,
6,24,2022,23-2B,23,B,198-2,Control (Water),Control (Water) B,138,,,,
6,29,2022,18-2A,18,A,229-2,Bleach,Bleach A,284,-95.07042254,0.1517,N,
6,29,2022,18-2B,18,B,229-2,Bleach,Bleach B,14,,,,
6,29,2022,15A,15,A,230-1,Bleach,Bleach A,704,-85.51136364,0.2135,Y,
6,29,2022,15B,15,B,230-1,Bleach,Bleach B,102,,,,
6,29,2022,14A,14,A,231-1,Control,Control A,812,-71.30541872,0.2055,Y,
6,29,2022,14B,14,B,231-1,Control,Control B,233,,,,
6,29,2022,2A,2,A,235-1,Control,Control A,227,-96.47577093,0.1581,N,
6,29,2022,2B,2,B,235-1,Control,Control B,8,,,,
6,29,2022,21A,21,A,226-1,Control,Control A,213,-43.19248826,0.1074,Y,
6,29,2022,21B,21,B,226-1,Control,Control B,121,,,,
6,29,2022,1A,1,A,236-1,Bleach,Bleach A,430,-99.53488372,0.14,Y,
6,29,2022,1B,1,B,236-1,Bleach,Bleach B,2,,,,
6,29,2022,13A,13,A,232-1,Control (Water),Control (Water) A,439,-75.85421412,0.1758,Y,
6,29,2022,13B,13,B,232-1,Control (Water),Control (Water) B,106,,,,
6,29,2022,18-1A,18,A,228-1,TSB,TSB A,1038,0,0.1607,Y,Too numerous to count
6,29,2022,18-1B,18,B,228-1,TSB,TSB B,1038,,,,Too numerous to count
6,29,2022,20A,20,A,227-1,Control (Water),Control (Water) A,1038,0,0.1788,Y,Too numerous to count
6,29,2022,20B,20,B,227-1,Control (Water),Control (Water) B,1038,,,,Too numerous to count
6,29,2022,8A,8,A,233-1,Control (Water),Control (Water) A,59,898.3050847,0.1372,Y,
6,29,2022,8B,8,B,233-1,Control (Water),Control (Water) B,589,,,,
7,8,2022,9A,9,A,268-1,Bleach,Bleach A,1038,-98.74759152,0.1439,Y,Too numerous to count
7,8,2022,9B,9,B,268-1,Bleach,Bleach B,13,,,,
7,8,2022,18-2A,18,A,272-2,Control (Water),Control (Water) A,424,-25.23584906,0.1527,N,
7,8,2022,18-2B,18,B,272-2,Control (Water),Control (Water) B,317,,,,
7,8,2022,3A,3,A,258-1,Bleach,Bleach A,214,-98.13084112,0.164,N,
7,8,2022,3B,3,B,258-1,Bleach,Bleach B,4,,,,
7,8,2022,20A,20,A,273-1,TSB,TSB A,423,-38.77068558,0.1687,N,
7,8,2022,20B,20,B,273-1,TSB,TSB B,259,,,,
7,8,2022,21-1A,21,A,274-1,Control (Water),Control (Water) A,287,-40.06968641,0.1813,Y,
7,8,2022,21-1B,21,B,274-1,Control (Water),Control (Water) B,172,,,,
7,8,2022,6-1A,6,A,264-1,TSB,TSB A,1038,-86.99421965,0.1548,N,Too numerous to count
7,8,2022,6-1B,6,B,264-1,TSB,TSB B,135,,,,
7,8,2022,4-1A,4,A,259-1,Control,Control A,189,-86.24338624,0.1488,Y,
7,8,2022,4-1B,4,B,259-1,Control,Control B,26,,,,
7,8,2022,5-2A,5,A,262-2,TSB,TSB A,615,68.7804878,0.1462,Y,
7,8,2022,5-2B,5,B,262-2,TSB,TSB B,1038,,,,Too numerous to count
7,8,2022,5-3A,5,A,263-3,Control,Control A,212,-78.77358491,0.1772,N,
7,8,2022,5-3B,5,B,263-3,Control,Control B,45,,,,
7,8,2022,4-2A,4,A,260-2,Control (Water),Control (Water) A,173,31.21387283,0.1231,N,
7,8,2022,4-2B,4,B,260-2,Control (Water),Control (Water) B,227,,,,
7,8,2022,5-1A,5,A,261-1,Bleach,Bleach A,520,-98.65384615,0.1285,Y,
7,8,2022,5-1B,5,B,261-1,Bleach,Bleach B,7,,,,
7,8,2022,8-2A,8,A,267-2,Control,Control A,1038,-67.34104046,0.1503,N,Too numerous to count
7,8,2022,8-2B,8,B,267-2,Control,Control B,339,,,,
7,8,2022,1-1A,1,A,255-1,TSB,TSB A,1037,0.096432015,0.1903,N,
7,8,2022,1-1B,1,B,255-1,TSB,TSB B,1038,,,,Too numerous to count
7,8,2022,1-3A,1,A,257-3,Control (Water),Control (Water) A,389,-60.41131105,0.1687,N,
7,8,2022,1-3B,1,B,257-3,Control (Water),Control (Water) B,154,,,,
7,8,2022,8-1A,8,A,266-1,TSB,TSB A,453,129.1390728,0.149,Y,
7,8,2022,8-1B,8,B,266-1,TSB,TSB B,1038,,,,Too numerous to count
7,8,2022,12A,12,A,269-1,Control (Water),Control (Water) A,109,29.35779817,0.1503,N,
7,8,2022,12B,12,B,269-1,Control (Water),Control (Water) B,141,,,,
7,8,2022,17A,17,A,270-1,TSB,TSB A,218,137.6146789,0.1696,Y,
7,8,2022,17B,17,B,270-1,TSB,TSB B,518,,,,
7,8,2022,6-2A,6,A,265-2,Control,Control A,1038,-98.74759152,0.1321,Y,Too numerous to count
7,8,2022,6-2B,6,B,265-2,Control,Control B,13,,,,
7,8,2022,18-1,18,A,271-1,Control,Control A,1038,-91.61849711,0.1619,N,Too numerous to count
7,8,2022,18-1B,18,B,271-1,Control,Control B,87,,,,
7,8,2022,1-2A,1,A,256-2,Control,Control A,236,-29.66101695,0.1656,Y,
7,8,2022,1-2B,1,B,256-2,Control,Control B,166,,,,
