OVIPMONTH,OVIPDAY,OVIPYEAR,CAGE,TREAT,ID,EMASS,SURV,HATCHMONTH,HATCHDAY,SVL,TL,MASS,SEX,QUANTITY,OTU,FAITH,SHANNON
4,29,2020,10,Sonication,46-3,0.1541,N,,,,,,,,,,
4,29,2020,4,Sonication,47-4,0.1311,N,,,,,,,,,,
4,29,2020,32,Sonication,51-1,0.1288,Y,6,4,3.93,21.97,0.0715,F,,,,
5,1,2020,29,Sonication,52-2,,N,,,,,,,,,,
5,1,2020,24,Sonication,53-2,,N,,,,,,,,,,
5,22,2019,8,Swab,138,0.1449,Y,6,26,19.36,28,0.1454,M,0.0356,12507,19.76098257,3.419605953
5,22,2019,9,Swab,149,0.1963,Y,6,18,18.2,31.73,0.1767,F,0.0688,11934,22.75490779,4.043362788
5,22,2019,10,Swab,1510,0.1386,Y,6,23,18.69,28.13,0.1361,F,0.0628,13094,22.6845104,3.882003082
5,22,2019,11,Swab,1611,0.1335,Y,6,23,19.34,30.9,0.1562,F,0.0368,14246,20.51226298,3.533873012
5,22,2019,1,Swab,11,0.1428,Y,6,23,17.15,29.49,0.1546,F,,,,
5,22,2019,1,Swab,21,0.1765,Y,6,18,16.87,30.32,0.1496,F,,,,
5,22,2019,2,Swab,32,0.181,Y,6,17,18.62,28.8,0.1458,F,,,,
5,22,2019,7,Swab,75,0.1445,Y,6,26,15.61,29.46,0.1587,M,,,,
4,22,2020,26,Swab,3-1,0.1453,Y,5,24,18.14,29.53,0.1511,M,,,,
4,22,2020,10,Swab,8-1,0.1512,Y,5,22,17.99,31.84,0.1767,F,,,,
4,22,2020,4,Swab,9-1,0.1516,Y,5,23,17.89,31.32,0.1786,M,,,,
4,22,2020,1,Swab,12-2,0.1236,Y,5,23,17.39,29.03,0.1379,F,,,,
4,22,2020,41,Swab,15-1,0.1634,N,,,,,,,,,,
4,25,2020,3,Swab,20-1,0.1586,Y,5,26,18.89,33.76,0.1773,F,,,,
4,25,2020,8,Swab,24-1,0.168,Y,5,26,18.29,30.3,0.175,M,,,,
4,27,2020,28,Swab,26-1,0.1609,Y,5,26,18.28,32.55,0.1866,F,,,,
4,27,2020,22,Swab,31-2,0.1597,Y,5,29,18.22,33.31,0.1701,F,,,,
4,27,2020,18,Swab,32-2,0.1624,Y,5,28,0.1788,33.8,0.1699,F,,,,
4,27,2020,17,Swab,34-3,0.1715,N,,,,,,,,,,
4,27,2020,2,Swab,41-3,0.1801,Y,5,28,18.9,33.4,0.1888,M,,,,
4,29,2020,27,Swab,49-4,0.1746,Y,5,30,19.19,35.78,0.2007,M,,,,
4,29,2020,5,Swab,50-2,0.1512,Y,5,29,18.48,34.59,0.1791,F,,,,
5,1,2020,14,Swab,57-2,0.1622,N,,,,,,,,,,
